NOMBRE,LOCALIZACION,ESTADO,LATITUD,LONGITUD,AREA,ZONA,ANO DE DESCUBRIMIENTO,TIRANTE AGUA,ESTATUS,ASIGNACION,OPERADOR,VIGENCIA,NUM BLOQUES,CAA ORIGINAL,CAA ACTUAL,CGA ORIGINAL,CGA ACTUAL,NP (MMB),GP (MMMPC),MECANISMO DE PRODUCCION,PRODUCCION RECORD (MBPD),PRODUCCION RECORD (MMPCD),PRODUCCION ACEITE (MBPD),PRODUCCION GAS (MMPCD),PRODUCCION AGUA (MBPD),COLUMNA OP ACEITE,PROYECTO IOR/EOR PROPUESTO,PROYECTO IOR/EOR SUGERIDO,VOUMEN DE INYECCION DE GAS (MMPCD),VOUMEN DE INYECCION DE AGUA (MBPD),TIPO TERMINACION,POZOS PERFORADOS,POZOS PRODUCTORES,POZOS INYECTORES,POZOS MONITORES PRODUCTORES,POZOS MONITORES,POZOS CERRADOS CON POSIBILIDADES,POZOS CERRADOS SIN POSIBILIDADES,POZOS TAPONADOS,REPARACIONES MENORES,REPARACIONES MAYORES,SISTEMA ARTIFICIAL,DESCUBRIMIENTO
BOCAXA,"Se ubica aproximadamente a 39 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.08907538,-98.70602246,,Burgos,2011,,Productor,AE-0398-M-Mision,PEMEX,,,,,,0,,Expansion roca-fluido,,6.12,0,1.84,0,,,,,0,Agujero entubado,,3,0,0,0,0,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
BONANZA,Se localiza a 106 km al noreste del municipio de Reynosa,Tamaulipas,26.43140009,-99.25484716,3.8,Burgos,2007,,Productor,AR-0504 - Campo Bonanza,PEMEX,,,,,,4.59E-05,,Expansion roca-fluido,,8.69,0,1,0,,,,,0,Agujero entubado,,8,0,0,0,4,0,1,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
BRAGADO,Se localiza a 56 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.65711707,-98.64650662,6.9,Burgos,2013,,Productor,CNH-R02-L02-A1-BG/2017,"Iberoamericana de Hidrocarburos CQ, Exploracion & Produccion de Mexico, S.A. de C.V.",2047,,,,,0.0068,,Expansion roca-fluido,,3.15,0,0,0,,,,,0,Agujero entubado,,2,0,0,0,0,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
BUENA SUERTE,Se ubica aproximadamente 340 km al noreste de la ciudad de Reynosa,Coahuila,27.11097015,-101.4898349,42,Burgos,1977,,Productor,A-0399-Monclova,PEMEX,,,,,,0.1048,,Expansion roca-fluido,,75.8,0,0.38,0.02,,,,,0,Agujero entubado,,1,1,0,0,0,4,12,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CABEZA,Se ubica aproximadamente a 82 km al suroeste de la ciudad de Reynosa Tamaulipas,Nuevo Leon,25.46807789,-98.76261497,134,Burgos,1954,,Productor,A-0054-M - Campo Cabeza,PEMEX,,,,,,0.0815,,Expansion roca-fluido,,14.59,0.02,3.04,0.07,,,,,0,Agujero entubado,,15,0,0,0,10,2,16,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CALABAZA,Se localiza a 104 km al suroeste de la ciudad de Reynosa,Nuevo Leon,25.77695527,-99.28055905,8.4,Burgos,1981,,Productor,AR-0479 - Campo Calabaza,PEMEX,,,,,,0.0008,,Expansion roca-fluido,,18.36,0,2.51,0.03,,,,,0,Agujero entubado,,25,0,0,0,3,3,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CALI,"Se localiza aproximadamente a 36 km al noroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.13318712,-98.63151488,11,Burgos,2008,,Desarrollo,AE-0398-M -Mision,PEMEX,,,,,,0.0052,,Expansion roca-fluido,,38.3,0,8.93,0,,,,,0,Agujero entubado,,5,0,0,0,5,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CALIBRADOR,Se localiza a 107 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.52382818,-99.16627118,37,Burgos,2007,,Productor,CNH-R01-L03-A3/2015,"CMM Calibrador, S.A. de C.V.",2041,,,,,0.0002,,Expansion roca-fluido,,36.54,0,2.92,0,,,,,0,Agujero entubado,,11,0,0,0,2,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CAMARGO,"Se ubica aproximadamente a 40 km al noroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.20878356,-98.6645913,1094,Burgos,1940,,Productor,AE-0398-M-Mision,PEMEX,,,,,,0,,Expansion roca-fluido,,47.79,0,0,0,,,,,0,Agujero entubado,,0,0,0,0,0,3,7,0,0,,,
CANON,Se ubica aproximadamente a 22 km al noroeste de la ciudad de Reynosa en el estado de Tamaulipas,Tamaulipas,26.14169252,-98.47847116,1094,Burgos,1954,,Productor,A-0060-M - Campo Canon,PEMEX,,,,,,2.0907,,Expansion roca-fluido,,61.63,0.05,7.48,0.79,,,,,0,Agujero entubado,,31,0,0,0,7,16,60,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CARAVANA,Se ubica a 140 km al noreste del municipio de Reynosa,Tamaulipas,26.78551026,-99.44267973,10.7,Burgos,2005,,Productor,AR-0505 - Campo Caravana,PEMEX,,,,,,0,,Expansion roca-fluido,,5.35,0,0.23,0,,,,,0,Agujero entubado,,3,0,0,0,4,0,1,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CARLOS,Se localiza a 60 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.97071768,-98.91323266,12.3,Burgos,1970,,Productor,CNH-R02-L03-BG-01/2017,"Iberoamericana de Hidrocarburos CQ, Exploracion & Produccion de Mexico, S.A. de C.V.",2047,,,,,0.2311,,Expansion roca-fluido,,10.32,0,2.87,0.04,,,,,0,Agujero entubado,,22,0,0,0,2,5,5,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CARRETAS,"Se localiza a 70 km al suroeste de la ciudad de Reynosa, Tamaulipas.",Tamaulipas,25.83915118,-98.93301579,90.17,Burgos,1966,,Productor,CNH-R01-L03-A5/2015,"STRATA CPB, S.A.P.I. de C.V.",2041,,,,,0.7782,,Expansion roca-fluido,,22.3,0,1.68,0.06,,,,,0,Agujero entubado,,32,0,0,0,8,24,18,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CASTA,Se localiza a 30 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.99011366,-98.57397282,1.5,Burgos,2004,,Productor,CNH-R02-L02-A5-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0,,Expansion roca-fluido,,2.56,0,0.24,0,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CATARRIN,"Se localiza a 80 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,25.72405057,-98.67598262,6,Burgos,1980,,Productor,A-0044-M - Campo Bayo,PEMEX,,,,,,0.0082,,Expansion roca-fluido,,2.1,0,0.23,0,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CAUDALOSO,Se ubica a 40 km al suroeste de la ciudad de Reynosa en el estado de Tamaulipas,Tamaulipas,25.96665609,-98.52971711,605,Burgos,2001,,Productor,A-0072-M - Campo Caudaloso,PEMEX,,,,,,0.0825,,Expansion roca-fluido,,29.05,0.01,3.05,0.06,,,,,0,Agujero entubado,,15,1,0,0,3,2,15,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CHALUPA,Se localiza a 46 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.7438546,-98.56369981,9.32,Burgos,2000,,Productor,CNH-R02-L02-A1-BG/2017,"Iberoamericana de Hidrocarburos CQ, Exploracion & Produccion de Mexico, S.A. de C.V.",2047,,,,,0.0272,,Expansion roca-fluido,,3.25,0,0.18,0,,,,,0,Agujero entubado,,2,0,0,0,0,1,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CHAPUL,Se ubica aproximadamente 53 km al suroeste de la ciudad de Reynosa,Tamaulipas,25.58076674,-98.26731681,85,Burgos,1953,,Productor,A-0081-M - Campo Chapul,PEMEX,,,,,,0.3286,,Expansion roca-fluido,,51.99,0.01,7.43,0.16,,,,,0,Agujero entubado,,18,0,0,0,4,3,8,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CHINA,Se localiza a 101 km al suroeste de la ciudad de Reynosa,Nuevo Leon,25.67946387,-99.20690608,20.8,Burgos,1985,,Productor,AR-0473 - Campo China,PEMEX,,,,,,2.77E-05,,Expansion roca-fluido,,5.69,0,0,0,,,,,0,Agujero entubado,,0,0,0,0,2,6,2,0,0,,,
COMITAS,Se ubica a 72 km al suroeste de la ciudad de Reynosa,"Nuevo Leon, Tamaulipas",25.75493469,-98.6091817,96,Burgos,1960,,Productor,A-0098-M - Campo Comitas,PEMEX,,,,,,2.433,,Expansion roca-fluido,,52.62,0.14,23.17,0.54,,,,,0,Agujero entubado,,97,0,0,0,1,6,33,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
COUGAR,Se ubica a 305 km al noroeste de la ciudad de Reynosa,Tamaulipas,27.41933879,-100.9736283,4.5,Burgos,2009,,Productor,A-0401-Pirineo,PEMEX,,,,,,0,,Expansion roca-fluido,,33.03,0,4.89,0,,,,,0,Agujero entubado,,7,0,0,0,2,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CUATRO MILPAS,"Se ubica aproximadamente a 78 km al suroeste de la ciudad de Reynosa, Tamaulipas",Nuevo Leon,25.73376005,-98.97031292,114,Burgos,1964,,Productor,A-0109-M - Campo Cuatro Milpas,PEMEX,,,,,,0.2375,,Expansion roca-fluido,,37.68,0.02,13.43,0.11,,,,,0,Agujero entubado,,72,0,0,0,22,14,18,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CUCANA,Se ubica aproximadamente a 60 km al suroeste de la ciudad de Reynosa,Tamaulipas,25.73485431,-98.72723655,15,Burgos,2009,,Productor,A-0110-M - Campo Cucana,PEMEX,,,,,,0.0044,,Expansion roca-fluido,,4.17,0,0.41,0,,,,,0,Agujero entubado,,2,0,0,0,1,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CUERVITO,Se ubica aproximadamente a 50 km al suroeste de la ciudad de Reynosa,"Nuevo Leon, Tamaulipas",25.93007956,-98.807291,57.2,Burgos,1966,,Productor,A-0111-M - Campo Cuervito,PEMEX,,,,,,5.9566,,Expansion roca-fluido,,58.09,1.61,20.4,0.23,,,,,0,Agujero entubado,,86,0,0,0,2,28,20,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CUITLAHUAC,Se ubica a 60 km al suroeste de la ciudad de Reynosa Tamaulipas,Tamaulipas,25.70666198,-98.47039268,190,Burgos,1972,,Productor,A-0112-M - Campo Cuitlahuac,PEMEX,,,,,,13.3126,,Expansion roca-fluido,,145.12,0.44,53.68,2.3,,,,,0,Agujero entubado,,195,0,0,4,14,93,139,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
CULEBRA,Se ubica aproximadamente a 85 km al suroeste de la ciudad de Reynosa,"Nuevo Leon, Tamaulipas",25.94285295,-99.0524797,252,Burgos,1956,,Productor,A-0113-M - Campo Culebra,PEMEX,,,,,,9.3105,,Expansion roca-fluido,,361.77,0.08,49.01,0.65,,,,,0,Agujero entubado,,303,0,0,0,72,146,70,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
DRAGON,Se ubica aproximadamente a 28 km al noroeste de la ciudad de Reynosa,Tamaulipas,26.07871191,-98.55588487,1094,Burgos,2003,,Productor,A-0116-M - Campo Dragon,PEMEX,,,,,,0.0427,,Expansion roca-fluido,,19.34,0,1.42,0.03,,,,,0,Agujero entubado,,7,0,0,0,4,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
DULCE,"Se ubica a 49 km al suroeste de la ciudad de Reynosa, Tamaulipas",Nuevo Leon,25.8096764,-98.70612474,5.6,Burgos,2001,,Productor,A-0117-M - Campo Dulce,PEMEX,,,,,,0.0187,,Expansion roca-fluido,,3.23,0,2.45,0.16,,,,,0,Agujero entubado,,3,0,0,0,1,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
DUNA,Se localiza a 114 km al suroeste de ciudad de la Reynosa Tamaulipas.,Nuevo Leon,25.5616881,-99.25100041,37.74,Burgos,1992,,Productor,CNH-R01-L03-A08/2015,"Dunas Exploracion y Produccion, S.A.P.I. de C.V.",2041,,,,,0.0015,,Expansion roca-fluido,,17.52,0,2.72,0,,,,,0,Agujero entubado,,15,0,0,0,3,5,4,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
ECATL,Se ubica aproximadamente a 87 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.30377494,-98.41579283,16.78,Burgos,2007,,Productor,CNH-R02-L02-A4-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.058,,Expansion roca-fluido,,8.92,0,0.27,0,,,,,0,Agujero entubado,,3,0,0,0,11,7,2,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
EMERGENTE,"Se ubica aproximadamente a 85 km al noroeste de la ciudad de Laredo, Tamaulipas",Tamaulipas,27.86244261,-99.92721812,22,Burgos,2011,,Productor,A-0400-Olmos,PEMEX,,,,,,0,,Expansion roca-fluido,,2.74,0,0.23,0.01,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
EMU,"Se localiza aproximadamente 130 km al noreste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.53197593,-99.33966737,114,Burgos,1991,,Productor,A-0124-M - Campo Emu,PEMEX,2029,,,,,0.0001,,Expansion roca-fluido,,17.01,0,2.09,0.05,,,,,0,Agujero entubado,,5,0,0,0,0,7,7,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
ENLACE,"Se localiza aproximadamente a 112 km al noreste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.53131354,-99.24109139,14,Burgos,2002,,Productor,A-0126-M - Campo Enlace,PEMEX,2029,,,,,0.0427,,Expansion roca-fluido,,43.8,1.20E-05,2.18,0.02,,,,,0,Agujero entubado,,25,0,0,0,6,20,8,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
EXPLORADOR,Se ubica 132 km al noreste del municipio de Reynosa,Tamaulipas,26.71225225,-99.28163813,,Burgos,1983,,Productor,AR-0507 - Campo Explorador,PEMEX,,,,,,0,,Expansion roca-fluido,,1.91,0,0.1,0,,,,,0,Agujero entubado,,2,0,0,0,5,0,2,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FILADELFIA,Se localiza a 158 km al noreste del municipio de Reynosa,Tamaulipas,26.87228049,-99.43626775,4.1,Burgos,2003,,Productor,AR-0519 - Campo Filadelfia,PEMEX,,,,,,0,,Expansion roca-fluido,,1.92,0,0.75,0,,,,,0,Agujero entubado,,1,0,0,0,1,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FITON,Se localiza a 80 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.31061897,-98.456648,6.1,Burgos,2004,,Productor,CNH-R02-L02-A4-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.0001,,Expansion roca-fluido,,1.7,0,0.06,0,,,,,0,Agujero entubado,,1,0,0,0,0,1,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FORASTERO,"Se ubica a 340 km de la ciudad de Reynosa en el municipio de Escobedo, Coahuila",Coahuila,27.30480816,-101.4419101,15,Burgos,2004,,Productor,A-0399-Monclova,GPA Energy,2029,,,,,0,,Expansion roca-fluido,,109.42,38.5,5.41,0,,,,,0,Agujero entubado,,5,0,0,0,3,4,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FORCADO,"Se ubica aproximadamente 70 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.0533326,-98.72237915,3.42,Burgos,2012,,Cerrado,AE-0398-M-Mision,Servicios Multiples de Burgos S.A. de C.V.,2029,,,,,0,,Expansion roca-fluido,,3.29,0,0.71,0,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FOSIL,Se ubica aproximadamente a 80 km al suroeste de la ciudad de Reynosa.,Tamaulipas,25.34743686,-98.41159983,16.78,Burgos,2005,,Productor,CNH-R02-L02-A4-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.0075,,Expansion roca-fluido,,4.77,0.022,0.24,0,,,,,0,Agujero entubado,,4,0,0,0,0,3,5,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FRONTERIZO,"Se ubica aproximadamente a 60 km al suroeste de la ciudad de Reynosa, Tamaulipas",Nuevo Leon,25.8630007,-98.83885794,35,Burgos,1966,,Productor,A-0135-M - Campo Fronterizo,PDT Servicios Multiples,2029,,,,,0.7021,,Expansion roca-fluido,,16.41,0.09,5.2,0.07,,,,,0,Agujero entubado,,24,0,0,0,0,11,7,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
FUNDADOR,"Se localiza aproximadamente a 45 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,25.89611116,-98.51518531,18,Burgos,2002,,Productor,A-0136-M - Campo Fundador,PEMEX,2029,,,,,0.1318,,Expansion roca-fluido,,105.91,0.01,20.19,0.52,,,,,0,Agujero entubado,,31,0,0,0,2,6,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GALIA,"Se ubica aproximadamente a 21 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.06850203,-98.51520338,7,Burgos,2001,,Productor,A-0137-M - Campo Galia,PEMEX,2029,,,,,0.0018,,Expansion roca-fluido,,11.03,0.001,0.59,0.11,,,,,0,Agujero entubado,,4,0,0,0,0,3,7,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GARUFA,Se localiza aproximadamente a 33 km de al suroeste de la ciudad de Reynosa Tamaulipas,Tamaulipas,25.91250351,-98.54141792,6,Burgos,2000,,Productor,A-0139-M - Campo Garufa,PEMEX,2029,,,,,0.2075,,Expansion roca-fluido,,10.09,0,0.55,0.11,,,,,0,Agujero entubado,,3,0,0,0,2,5,1,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GEMINIS,"Se localiza a 75 km al oeste de la ciudad de Reynosa en el municipio de Miguel Aleman, Tamaulipas",Tamaulipas,26.25645828,-99.01303338,28,Burgos,1977,,Productor,AE-0398-M-Mision,Servicios Multiples de Burgos S.A. de C.V.,2029,,,,,0.207,,Expansion roca-fluido,,22.85,0,6.39,0.11,,,,,0,Agujero entubado,,16,0,0,0,0,15,10,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GENERAL,Se ubica aproximadamente a 147 km al noroeste de la ciudad de Reynosa Tamaulipas,Tamaulipas,26.64881584,-99.41403916,18,Burgos,2006,,Productor,A-0143-M - Campo General,PEMEX,2029,,,,,0,,Expansion roca-fluido,,47.64,0,1.97,0.01,,,,,0,Agujero entubado,,10,0,0,0,0,3,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GIGANTE,"Se ubica aproximadamente a 120 km al noroeste del municipio de Reynosa, Tamaulipas",Tamaulipas,26.62010179,-99.36483582,65,Burgos,1977,,Productor,AR-0514 - Campo Gigante,PEMEX,,,,,,0.0111,,Expansion roca-fluido,,6.35,0,0.64,0,,,,,0,Agujero entubado,,2,0,0,0,8,17,11,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GRANADITAS,"Se ubica aproximadamente a 70 km al suroeste de la ciudad de Reynosa, Tamaulipas.",Tamaulipas,25.32478781,-98.45116251,8.39,Burgos,2006,,Productor,CNH-R02-L02-A4-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.0025,,Expansion roca-fluido,,8.12,0,0.4,0,,,,,0,Agujero entubado,,4,0,0,0,1,3,1,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
GRANDE,Se localiza a 120 km al noreste del municipio de Reynosa,Tamaulipas,26.46974229,-99.34728828,2.3,Burgos,2008,,Productor,AR-0518 - Campo Grande,PEMEX,,,,,,0,,Expansion roca-fluido,,2.64,0,0.82,0,,,,,0,Agujero entubado,,3,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
HABANO,"Se ubica aproximadamente a 80 km al noroeste de la ciudad de nuevo Laredo, Tamaulipas en el municipio de Hidalgo, Coahuila",Coahuila,28.03969384,-100.048003,22,Burgos,2012,,Productor,"AE-0067 - Garza -02, A-0400- Olmos",PEMEX,2029,,,,,0.0221,,Expansion roca-fluido,,6.06,0,1.01,0.01,,,,,0,Agujero entubado,,4,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
HIDALGO,"Se ubica aproximadamente 250 km al noreste de la ciudad de Reynosa, Tamaulipas",Coahuila,27.93954106,-99.96064994,92,Burgos,2005,,Productor,A-0400 - Olmos,Lewis Energy,2029,,,,,0,,Expansion roca-fluido,,1.22,0,0.03,0,,,,,0,Agujero entubado,,3,0,0,0,5,0,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
HUATEMPO,"Se ubica a 107 km al noreste de la ciudad Reynosa, Tamaulipas",Tamaulipas,26.45950809,-99.23979814,10.7,Burgos,1987,,Productor,AR-0511 - Campo Huatempo,PEMEX,,,,,,0.002,,Expansion roca-fluido,,2.36,0,0.66,0,,,,,0,Agujero entubado,,5,0,0,0,1,2,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
HUIZACHE,Se ubica aproximadamente a 102 km al suroeste de la ciudad de Reynosa en el estado de Tamaulipas,Tamaulipas,25.08634195,-98.25695142,5,Burgos,1961,,Productor,A-0155-M - Campo Huizache,PEMEX,2029,,,,,0.0808,,Expansion roca-fluido,,7.73,0.001,0.7,0.16,,,,,0,Agujero entubado,,2,0,0,0,2,2,6,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
INTEGRAL,"Se localiza aproximadamente a 32 km al noroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.16525585,-98.59893868,10,Burgos,2002,,Productor,AE-0398-M -Mision,Servicios Multiples de Burgos S.A. de C.V.,2029,,,,,0.0269,,Expansion roca-fluido,,5,0.0025,0.46,0,,,,,0,Agujero entubado,,2,0,0,0,3,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
ITA,"Se ubica a 78 km al suroeste de la ciudad de Reynosa, Tamaulipas.",Tamaulipas,25.34975852,-98.43024732,6.52,Burgos,2006,,Productor,CNH-R02-L02-A4-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.0079,,Expansion roca-fluido,,21.37,0,0.08,0,,,,,0,Agujero entubado,,1,0,0,0,1,16,7,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
JABALINA,"Se ubica a 28 km al suroeste de la ciudad de Reynosa, Tamaulipas.",Tamaulipas,25.94671773,-98.51664512,2.31,Burgos,1991,,Productor,CNH-R02-L02-A5-BG/2017,"Pantera Exploracion y Produccion 2.2, S.A.P.I. de C.V.",2047,,,,,0.0201,,Expansion roca-fluido,,0.87,0,0.08,0.01,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
JARAGUAY,"Se localiza a 53 km al sur de la ciudad de Reynosa, Tamaulipas",Tamaulipas,25.57912101,-98.27607942,21.6,Burgos,2010,,Productor,AR-0472 - Campo Jaraguay,PEMEX,,,,,,0.0042,,Expansion roca-fluido,,1.39,0,0,0,,,,,0,Agujero entubado,,1,0,0,0,0,0,0,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
JAUJAL,"Se ubica aproximadamente a 122 km al noroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.62507641,-99.30834375,17,Burgos,1973,,Productor,A-0164-M - Campo Jaujal,PEMEX,2029,,,,,0.0318,,Expansion roca-fluido,,19.52,0,2.42,0,,,,,0,Agujero entubado,,8,0,0,0,1,22,17,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
KRIPTON,"Se ubica aproximadamente 20 km al suroeste de la ciudad de Reynosa, Tamaulipas",Tamaulipas,26.03705186,-98.48129262,5,Burgos,2001,,Productor,A-0182-M - Campo Kripton,PEMEX,2030,,,,,0.0047,,Expansion roca-fluido,,25.15,0,3.12,0.07,,,,,0,Agujero entubado,,9,0,0,0,5,4,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
LOBO,"Se ubica a 82 km del suroeste de la ciudad de Reynosa, Tamaulipas",Nuevo Leon,25.79369338,-99.03886721,20,Burgos,1964,,Productor,AR-0484 - Campo Lobo,PEMEX,,,,,,0.0018,,Expansion roca-fluido,,4.29,0,0.22,0,,,,,0,Agujero entubado,,5,0,0,0,3,4,7,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
LOMITAS,Se localiza aproximadamente a 16 km al oeste de la ciudad de Reynosa Tamaulipas,Tamaulipas,26.08563765,-98.43045607,5,Burgos,1951,,Productor,A-0194-M - Campo Lomitas,PEMEX,2035,,,,,0.8697,,Expansion roca-fluido,,34.06,0.1,6.1,0.16,,,,,0,Agujero entubado,,23,0,0,0,6,9,55,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
MANDARIN,"Se ubica a 36 km al suroeste de Reynosa, Tamaulipas",Tamaulipas,26.00794372,-98.64085652,,Burgos,2012,,Cerrado,AE-0398-M -Mision,Servicios Multiples de Burgos S.A. de C.V.,2029,,,,,0,,Expansion roca-fluido,,0.48,0,0,0,,,,,0,Agujero entubado,,0,0,0,0,1,0,0,0,0,,,
MAREOGRAFO,"Se ubica apoximadamente a 104 km al suroeste de Reynosa, Tamaulipas.",Tamaulipas,25.62232773,-99.18203104,30,Burgos,2008,,Productor,CNH-R01-L03-A12/2015,"Grupo Mareografo, S.A. de C.V.",2041,,,,,0.0007,,Expansion roca-fluido,,31.3,0,4.98,0,,,,,0,Agujero entubado,,15,0,0,0,2,1,3,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
MASTER,"Se ubica a 306 km al noroeste de la ciudad de Reynosa, Tamaulipas",Coahuila,27.50358627,-100.9030112,7.06,Burgos,2012,,Productor,A-0401-Pirineo,Monclova Pirineos Gas,2029,,,,,0,,Expansion roca-fluido,,24.19,0,1.48,0,,,,,0,Agujero entubado,,1,0,0,0,0,1,1,0,0,"Lanzador de barras, Valvulamotora, Minicompresor, Venturi",,
